cust_id,age,income,region,account_type,loan_type,account_open_date,balance,days_past_due,monthly_payment,credit_limit,status,bucket,risk_flag,risk_level,vintage_days,utilization,collection_strategy
209,29,144861,East,Credit Card,Auto Loan,2024-05-24,74466,0,14542,312810,Current,Current,good,low,699,0.23805504939100414,Soft
210,53,195587,East,Savings,Mortgage,2018-09-25,797129,0,8171,394506,Current,Current,good,low,2767,2.020575098984553,Soft
211,46,76681,West,Loan,Mortgage,2022-07-25,606088,20,2001,342347,Delinquent,0-30,good,low,1368,1.7703908607348684,Soft
212,56,142931,East,Credit Card,Personal Loan,2024-07-25,264803,10,15733,372895,Delinquent,0-30,good,low,637,0.7101275157886269,Soft
213,24,119672,North,Savings,Credit Card,2020-07-08,53995,70,45840,22828,Charged-off,60-90,bad,High,2115,2.3652970036796916,Aggressive
214,22,84719,East,Savings,Credit Card,2022-08-28,592101,50,22139,240120,Delinquent,30-60,good,medium,1334,2.4658545727136434,Soft
215,28,191745,North,Current,Mortgage,2019-04-01,556686,35,23565,254774,Delinquent,30-60,good,medium,2579,2.185018879477498,Soft
216,27,80722,West,Savings,Mortgage,2025-01-19,24912,10,29161,322592,Delinquent,0-30,good,low,459,0.07722448169824422,Soft
217,56,26536,North,Savings,Auto Loan,2019-06-28,60249,95,37213,60609,Charged-off,90+,bad,High,2491,0.9940602880760283,Aggressive
218,54,163194,East,Current,Personal Loan,2019-05-16,19682,35,39747,408285,Delinquent,30-60,good,medium,2534,0.0482065224046928,Soft
219,60,191467,North,Loan,Credit Card,2017-01-23,749626,120,31265,85351,Charged-off,90+,bad,High,3377,8.78286136073391,Aggressive
220,39,81883,North,Current,Personal Loan,2020-12-12,598611,10,3493,38070,Delinquent,0-30,good,low,1958,15.723955870764382,Soft
221,49,141782,North,Credit Card,Personal Loan,2023-10-28,144944,120,44362,265373,Charged-off,90+,bad,High,908,0.5461897027956876,Aggressive
222,59,76532,West,Loan,Credit Card,2017-05-25,192889,120,14705,146837,Charged-off,90+,bad,High,3255,1.3136266744757792,Aggressive
223,26,151916,West,Savings,Credit Card,2021-12-06,562843,35,14523,377190,Delinquent,30-60,good,medium,1599,1.4922002173970679,Soft
224,30,75479,North,Current,Mortgage,2017-05-10,239685,0,37212,204100,Current,Current,good,low,3270,1.1743508084272416,Soft
225,61,156473,South,Savings,Credit Card,2018-03-12,478725,0,49699,433604,Current,Current,good,low,2964,1.1040603868967998,Soft
226,62,181308,West,Loan,Auto Loan,2017-06-18,548976,20,15019,409075,Delinquent,0-30,good,low,3231,1.3419935219702988,Soft
227,25,136892,East,Credit Card,Credit Card,2018-02-01,59471,0,45858,120930,Current,Current,good,low,3003,0.49178036880840154,Soft
228,44,41410,East,Savings,Personal Loan,2019-04-15,440371,0,39029,213593,Current,Current,good,low,2565,2.061729551062067,Soft
229,61,64288,South,Savings,Credit Card,2019-02-13,290532,10,17176,161324,Delinquent,0-30,good,low,2626,1.8009223674096848,Soft
230,42,180000,South,Credit Card,Auto Loan,2021-01-16,159213,70,46770,391774,Charged-off,60-90,bad,High,1923,0.40638990846763695,Aggressive
231,46,162875,South,Credit Card,Credit Card,2019-05-26,673235,0,45768,326092,Current,Current,good,low,2524,2.0645554015431227,Soft
232,57,152481,North,Savings,Credit Card,2021-06-21,419078,50,3407,51500,Delinquent,30-60,good,medium,1767,8.137436893203883,Soft
233,49,139093,South,Credit Card,Credit Card,2023-06-19,543390,70,37219,380564,Charged-off,60-90,bad,High,1039,1.4278544476093378,Aggressive
234,56,27240,North,Credit Card,Auto Loan,2024-09-16,42544,70,23984,156721,Charged-off,60-90,bad,High,584,0.27146330102538907,Aggressive
235,40,71099,North,Credit Card,Credit Card,2017-03-21,297261,20,39293,321601,Delinquent,0-30,good,low,3320,0.9243161557333466,Soft
236,38,94533,North,Credit Card,Mortgage,2017-12-16,59646,0,4759,106994,Current,Current,good,low,3050,0.5574705123651793,Soft
237,60,37739,South,Credit Card,Personal Loan,2017-08-16,413593,35,38937,193246,Delinquent,30-60,good,medium,3172,2.140240936423005,Soft
238,61,66361,North,Credit Card,Auto Loan,2021-06-03,184983,20,41289,290126,Delinquent,0-30,good,low,1785,0.6375953895893508,Soft
239,35,62841,West,Current,Mortgage,2017-05-15,452880,0,31074,423240,Current,Current,good,low,3265,1.0700311879784519,Soft
240,35,163147,South,Credit Card,Personal Loan,2024-10-15,648703,70,47745,201146,Charged-off,60-90,bad,High,555,3.2250355463195888,Aggressive
241,44,63673,North,Current,Auto Loan,2019-12-05,710300,50,4084,266746,Delinquent,30-60,good,medium,2331,2.662832807239846,Soft
242,49,41026,West,Credit Card,Credit Card,2020-11-24,622831,0,33797,247978,Current,Current,good,low,1976,2.5116381291888796,Soft
243,37,185138,East,Current,Mortgage,2021-06-28,199474,20,14017,303946,Delinquent,0-30,good,low,1760,0.6562810499233417,Soft
244,45,119756,West,Savings,Mortgage,2021-09-16,404901,70,29513,260943,Charged-off,60-90,bad,High,1680,1.5516837010381577,Aggressive
245,36,108626,West,Credit Card,Mortgage,2023-11-13,285070,0,24125,85493,Current,Current,good,low,892,3.3344250406466025,Soft
246,37,79213,East,Current,Credit Card,2017-05-18,55350,20,30286,493695,Delinquent,0-30,good,low,3262,0.11211375444353296,Soft
247,41,70845,East,Loan,Credit Card,2017-08-29,362633,10,37596,53693,Delinquent,0-30,good,low,3159,6.753822658447097,Soft
248,64,161929,South,Savings,Mortgage,2021-05-06,742223,70,35482,297824,Charged-off,60-90,bad,High,1813,2.4921530837004404,Aggressive
249,47,159632,South,Credit Card,Credit Card,2024-09-05,369524,20,5983,493215,Delinquent,0-30,good,low,595,0.7492148454527944,Soft
250,25,25906,West,Loan,Credit Card,2023-03-14,692747,20,23800,196604,Delinquent,0-30,good,low,1136,3.52356513600944,Soft
251,42,118052,South,Savings,Mortgage,2022-06-01,173002,0,26333,430923,Current,Current,good,low,1422,0.4014684758065826,Soft
252,53,164397,East,Savings,Auto Loan,2024-10-20,289039,0,8062,158145,Current,Current,good,low,550,1.827683455057068,Soft
253,60,102508,South,Loan,Credit Card,2018-11-12,586892,10,18851,50168,Delinquent,0-30,good,low,2719,11.69853292935736,Soft
254,22,76073,West,Credit Card,Mortgage,2019-04-14,775963,0,42882,38947,Current,Current,good,low,2566,19.923562790458828,Soft
255,55,75650,East,Savings,Credit Card,2018-01-03,556430,35,21069,177165,Delinquent,30-60,good,medium,3032,3.14074450371123,Soft
256,63,113114,North,Savings,Mortgage,2023-08-01,299720,70,3144,61059,Charged-off,60-90,bad,High,996,4.908694868897296,Aggressive
257,39,134293,East,Credit Card,Personal Loan,2021-10-19,481254,0,22820,288553,Current,Current,good,low,1647,1.667818390382356,Soft
258,60,100722,East,Savings,Mortgage,2019-01-10,76347,50,44919,408887,Delinquent,30-60,good,medium,2660,0.1867190690826561,Soft
259,47,97185,North,Credit Card,Personal Loan,2019-10-18,424479,120,5817,64814,Charged-off,90+,bad,High,2379,6.549186904063937,Aggressive
260,60,196701,West,Credit Card,Personal Loan,2021-07-04,94609,50,32250,337737,Delinquent,30-60,good,medium,1754,0.28012625208372194,Soft
261,56,112725,North,Loan,Mortgage,2023-05-05,360288,10,5807,76738,Delinquent,0-30,good,low,1084,4.695040266882119,Soft
262,59,75758,East,Loan,Auto Loan,2021-02-24,63417,70,7643,189965,Charged-off,60-90,bad,High,1884,0.3338351801647672,Aggressive
263,22,74418,West,Loan,Personal Loan,2021-08-06,314498,0,40459,245960,Current,Current,good,low,1721,1.2786550658643683,Soft
264,61,116143,South,Loan,Credit Card,2018-11-18,453039,35,30759,91254,Delinquent,30-60,good,medium,2713,4.964593332894997,Soft
265,38,130899,South,Savings,Personal Loan,2019-07-25,375082,0,14430,389274,Current,Current,good,low,2464,0.9635423891654722,Soft
266,43,172226,South,Credit Card,Personal Loan,2018-02-02,743858,0,30166,89985,Current,Current,good,low,3002,8.266466633327777,Soft
267,46,179413,West,Savings,Credit Card,2020-04-23,536693,0,5281,305287,Current,Current,good,low,2191,1.757994935912764,Soft
268,31,76630,South,Credit Card,Personal Loan,2023-12-11,438216,0,28968,364286,Current,Current,good,low,864,1.2029449388667146,Soft
269,21,36889,West,Credit Card,Personal Loan,2017-10-30,50894,0,5815,365258,Current,Current,good,low,3097,0.1393371260862185,Soft
270,56,143658,West,Loan,Mortgage,2021-10-13,685599,35,32150,251576,Delinquent,30-60,good,medium,1653,2.7252162368429422,Soft
271,40,199381,West,Current,Auto Loan,2017-08-08,611203,70,3297,76711,Charged-off,60-90,bad,High,3180,7.9676056888842535,Aggressive
272,51,141997,South,Credit Card,Credit Card,2023-08-13,520819,10,46295,101283,Delinquent,0-30,good,low,984,5.142215376716725,Soft
273,28,25826,East,Savings,Credit Card,2017-02-20,394213,20,4221,453894,Delinquent,0-30,good,low,3349,0.8685133533380041,Soft
274,60,145721,West,Credit Card,Auto Loan,2021-05-20,513935,95,18728,30952,Charged-off,90+,bad,High,1799,16.604258206254848,Aggressive
275,44,120234,North,Credit Card,Credit Card,2020-05-21,33134,20,23293,256807,Delinquent,0-30,good,low,2163,0.12902296276970643,Soft
276,40,42602,East,Current,Personal Loan,2023-10-25,207170,50,4752,353178,Delinquent,30-60,good,medium,911,0.5865880660743308,Soft
277,35,48060,West,Current,Mortgage,2018-08-14,297407,0,3103,464538,Current,Current,good,low,2809,0.6402210368150721,Soft
278,50,55593,South,Loan,Personal Loan,2023-07-02,516649,0,2850,388577,Current,Current,good,low,1026,1.329592333051107,Soft
279,40,107790,West,Loan,Mortgage,2023-03-15,477372,0,27426,206811,Current,Current,good,low,1135,2.3082524623931997,Soft
280,58,128752,East,Credit Card,Auto Loan,2023-06-05,552312,70,38985,253583,Charged-off,60-90,bad,High,1053,2.1780324390830614,Aggressive
281,22,73010,South,Current,Auto Loan,2019-03-03,390835,20,42894,388314,Delinquent,0-30,good,low,2608,1.0064921687088284,Soft
282,26,167375,North,Current,Credit Card,2018-05-22,235662,20,14033,240753,Delinquent,0-30,good,low,2893,0.9788538460579931,Soft
283,62,37938,South,Credit Card,Auto Loan,2022-08-04,730373,70,13911,241002,Charged-off,60-90,bad,High,1358,3.0305682110521905,Aggressive
284,38,145461,South,Savings,Mortgage,2023-09-06,484674,70,11299,257768,Charged-off,60-90,bad,High,960,1.8802721827379658,Aggressive
285,56,68625,East,Current,Personal Loan,2020-05-09,33091,35,47096,191042,Delinquent,30-60,good,medium,2175,0.173213220129605,Soft
286,34,108584,South,Current,Credit Card,2019-03-26,211647,120,32534,80035,Charged-off,90+,bad,High,2585,2.6444305616292874,Aggressive
287,46,72124,North,Current,Auto Loan,2024-12-18,198424,95,34214,63353,Charged-off,90+,bad,High,491,3.1320379461114705,Aggressive
288,54,143609,West,Credit Card,Personal Loan,2021-02-17,704453,0,7581,126742,Current,Current,good,low,1891,5.558165406889587,Soft
289,50,131807,East,Loan,Personal Loan,2018-06-18,42294,0,38669,497777,Current,Current,good,low,2866,0.0849657577589965,Soft
290,27,183635,East,Current,Credit Card,2019-03-25,587013,0,32622,151652,Current,Current,good,low,2586,3.8707897027404847,Soft
291,50,172945,North,Savings,Auto Loan,2020-10-02,400772,50,5340,486090,Delinquent,30-60,good,medium,2029,0.8244810631776008,Soft
292,38,166567,North,Current,Personal Loan,2022-03-25,407555,0,16741,192950,Current,Current,good,low,1490,2.1122311479657943,Soft
293,42,196012,North,Current,Personal Loan,2019-08-29,604043,0,3465,86662,Current,Current,good,low,2429,6.970102236274261,Soft
294,37,83424,North,Credit Card,Personal Loan,2025-02-28,373838,0,14079,216889,Current,Current,good,low,419,1.7236374366611493,Soft
295,51,56295,West,Savings,Credit Card,2017-02-19,59717,20,35075,78825,Delinquent,0-30,good,low,3350,0.7575895972090073,Soft
296,37,56276,East,Current,Mortgage,2017-02-21,308720,10,48533,262974,Delinquent,0-30,good,low,3348,1.1739563607048606,Soft
297,51,175602,North,Current,Credit Card,2017-01-17,731064,120,43260,150904,Charged-off,90+,bad,High,3383,4.844563431055506,Aggressive
298,33,96168,North,Credit Card,Mortgage,2017-10-30,308559,0,31767,237308,Current,Current,good,low,3097,1.300246936470747,Soft
299,47,176808,North,Savings,Auto Loan,2021-06-14,578469,0,22382,466265,Current,Current,good,low,1774,1.240644268817089,Soft
300,40,49978,North,Credit Card,Auto Loan,2022-10-23,678509,35,23297,101113,Delinquent,30-60,good,medium,1278,6.710403212247683,Soft
301,37,78565,South,Credit Card,Mortgage,2017-12-06,17555,0,11759,488026,Current,Current,good,low,3060,0.035971444144369355,Soft
302,49,67059,West,Current,Mortgage,2023-10-12,682792,50,22465,370446,Delinquent,30-60,good,medium,924,1.8431620263142265,Soft
303,59,181953,South,Savings,Credit Card,2018-03-04,233335,0,25946,122253,Current,Current,good,low,2972,1.9086239192494254,Soft
304,55,120079,North,Credit Card,Personal Loan,2021-06-27,425077,0,5082,393054,Current,Current,good,low,1761,1.0814722658973068,Soft
305,28,98356,South,Loan,Auto Loan,2022-01-16,676894,95,25685,245722,Charged-off,90+,bad,High,1558,2.7547146775624487,Aggressive
306,63,153596,East,Credit Card,Credit Card,2018-05-15,284224,0,28236,66960,Current,Current,good,low,2900,4.24468339307049,Soft
307,58,130529,North,Savings,Auto Loan,2024-03-30,283247,0,35059,394943,Current,Current,good,low,754,0.7171845051058001,Soft
308,35,184215,South,Credit Card,Mortgage,2022-01-25,319195,10,49781,389206,Delinquent,0-30,good,low,1549,0.8201183948859987,Soft
309,21,197207,North,Savings,Mortgage,2020-02-25,754931,0,42863,224348,Current,Current,good,low,2249,3.364999910852782,Soft
310,53,157475,East,Savings,Credit Card,2024-07-11,100852,0,18706,495920,Current,Current,good,low,651,0.20336344571705114,Soft
311,23,151641,South,Credit Card,Mortgage,2021-04-27,505230,0,4121,194361,Current,Current,good,low,1822,2.599441245928967,Soft
312,59,50567,North,Credit Card,Credit Card,2025-03-14,541240,10,39584,200587,Delinquent,0-30,good,low,405,2.6982805465957416,Soft
313,58,193042,East,Loan,Credit Card,2025-02-02,369026,0,23190,319412,Current,Current,good,low,445,1.1553291673449964,Soft
314,35,31416,North,Credit Card,Personal Loan,2020-12-16,255963,0,17135,254490,Current,Current,good,low,1954,1.0057880466815985,Soft
315,62,97943,West,Credit Card,Personal Loan,2020-08-15,344575,0,14786,112547,Current,Current,good,low,2077,3.0616098163433945,Soft
316,38,157696,West,Current,Personal Loan,2017-05-09,185742,0,6447,310917,Current,Current,good,low,3271,0.5974005924410695,Soft
317,58,150802,East,Loan,Mortgage,2021-06-18,389997,0,39560,143314,Current,Current,good,low,1770,2.7212763582064556,Soft
318,51,186956,North,Savings,Auto Loan,2019-03-19,296911,50,47551,467612,Delinquent,30-60,good,medium,2592,0.6349516265621926,Soft
319,40,124967,North,Credit Card,Auto Loan,2023-12-04,369801,20,46050,272453,Delinquent,0-30,good,low,871,1.3573019933713337,Soft
320,27,81651,South,Credit Card,Personal Loan,2019-12-16,667097,0,33082,374461,Current,Current,good,low,2320,1.7814859224325097,Soft
321,57,105140,North,Loan,Personal Loan,2024-03-22,612471,10,1946,220352,Delinquent,0-30,good,low,762,2.7795118719140284,Soft
322,47,190806,West,Current,Auto Loan,2019-05-10,381725,20,34892,452406,Delinquent,0-30,good,low,2540,0.8437664398792235,Soft
323,28,65669,West,Current,Mortgage,2017-03-07,523173,50,21113,275493,Delinquent,30-60,good,medium,3334,1.899042806895275,Soft
324,34,187736,East,Credit Card,Personal Loan,2018-05-07,749689,120,14726,56045,Charged-off,90+,bad,High,2908,13.376554554375948,Aggressive
325,35,108821,East,Loan,Mortgage,2022-07-05,789698,120,7381,378632,Charged-off,90+,bad,High,1388,2.085661011219337,Aggressive
326,27,137702,East,Current,Mortgage,2020-07-28,757943,0,36881,289605,Current,Current,good,low,2095,2.61716130591668,Soft
327,53,154055,South,Current,Mortgage,2020-10-20,216371,50,44816,161734,Delinquent,30-60,good,medium,2011,1.3378201244017955,Soft
328,54,122952,North,Savings,Auto Loan,2021-09-05,469230,0,12088,30947,Current,Current,good,low,1691,15.162374382007949,Soft
329,24,52013,South,Current,Auto Loan,2019-10-07,471388,0,9303,217384,Current,Current,good,low,2390,2.168457660177382,Soft
330,21,194971,West,Credit Card,Mortgage,2017-03-02,557707,35,20187,241192,Delinquent,30-60,good,medium,3339,2.312294769312415,Soft
331,61,131115,East,Savings,Credit Card,2024-12-13,536286,0,31244,291851,Current,Current,good,low,496,1.837533535948138,Soft
332,34,163802,South,Credit Card,Auto Loan,2021-10-04,777167,50,42300,181422,Delinquent,30-60,good,medium,1662,4.283752797345415,Soft
333,51,157750,West,Loan,Credit Card,2020-03-22,60123,50,26549,130014,Delinquent,30-60,good,medium,2223,0.4624348147122618,Soft
334,58,114390,North,Savings,Mortgage,2024-03-07,446721,35,45289,408588,Delinquent,30-60,good,medium,777,1.0933287321213545,Soft
335,40,56059,East,Loan,Auto Loan,2022-06-06,687924,0,12337,39701,Current,Current,good,low,1417,17.32762398932017,Soft
336,23,51208,East,Credit Card,Mortgage,2024-10-28,98496,0,5924,412878,Current,Current,good,low,542,0.23855957449900456,Soft
337,55,120014,North,Credit Card,Auto Loan,2017-03-25,712895,35,3860,241677,Delinquent,30-60,good,medium,3316,2.949784216123173,Soft
338,53,153073,North,Current,Personal Loan,2023-08-28,380199,95,12248,212865,Charged-off,90+,bad,High,969,1.7861038686491437,Aggressive
339,35,172074,North,Savings,Personal Loan,2025-02-27,84818,35,3008,489594,Delinquent,30-60,good,medium,420,0.17324150214259162,Soft
340,23,99977,East,Current,Credit Card,2021-11-17,798043,0,45738,140914,Current,Current,good,low,1618,5.6633336645045915,Soft
341,48,108992,South,Credit Card,Mortgage,2019-07-01,292194,0,30249,187618,Current,Current,good,low,2488,1.5573878838917374,Soft
342,47,105859,South,Credit Card,Credit Card,2021-12-22,507828,0,9437,429722,Current,Current,good,low,1583,1.1817593700113096,Soft
343,53,178338,West,Credit Card,Mortgage,2023-05-19,439246,0,2189,107833,Current,Current,good,low,1070,4.073391262415031,Soft
344,39,151330,West,Credit Card,Mortgage,2017-02-25,92442,120,42770,104864,Charged-off,90+,bad,High,3344,0.8815418065303632,Aggressive
345,53,93878,West,Current,Mortgage,2021-04-10,402356,70,6083,46978,Charged-off,60-90,bad,High,1839,8.564775001064328,Aggressive
346,51,107179,West,Current,Personal Loan,2024-07-16,464685,0,20407,180965,Current,Current,good,low,646,2.567816981184207,Soft
347,24,49163,North,Credit Card,Credit Card,2020-03-23,481845,35,6675,292032,Delinquent,30-60,good,medium,2222,1.6499732905982907,Soft
348,52,107027,East,Savings,Personal Loan,2024-08-09,514314,10,34690,99912,Delinquent,0-30,good,low,622,5.147669949555609,Soft
349,62,155968,East,Savings,Personal Loan,2017-05-01,404636,20,41086,76445,Delinquent,0-30,good,low,3279,5.293165020603048,Soft
350,48,58407,East,Loan,Personal Loan,2018-06-15,260466,10,34315,200763,Delinquent,0-30,good,low,2869,1.2973804934176119,Soft
351,36,199521,South,Credit Card,Personal Loan,2018-01-23,184026,120,14341,272212,Charged-off,90+,bad,High,3012,0.6760392635152014,Aggressive
352,63,97738,South,Savings,Personal Loan,2024-09-06,233914,0,6517,180103,Current,Current,good,low,594,1.2987790319983565,Soft
353,48,135043,West,Savings,Mortgage,2024-12-15,721163,0,5464,205011,Current,Current,good,low,494,3.51767953914668,Soft
354,35,36380,East,Current,Personal Loan,2023-04-22,394717,70,26023,63915,Charged-off,60-90,bad,High,1097,6.1756551670186965,Aggressive
355,42,166848,West,Current,Mortgage,2017-04-14,472111,0,33033,49184,Current,Current,good,low,3296,9.598873617436565,Soft
356,51,53677,East,Current,Auto Loan,2024-07-10,68595,35,20929,438524,Delinquent,30-60,good,medium,652,0.15642245350311498,Soft
357,41,191495,East,Credit Card,Auto Loan,2019-06-11,153327,0,2298,189305,Current,Current,good,low,2508,0.8099469110694382,Soft
358,52,42993,South,Credit Card,Auto Loan,2022-07-12,696454,50,25311,76854,Delinquent,30-60,good,medium,1381,9.062039711661072,Soft
359,27,63242,South,Credit Card,Auto Loan,2017-02-05,308753,20,37939,111122,Delinquent,0-30,good,low,3364,2.7785047065387594,Soft
360,53,96346,East,Credit Card,Mortgage,2023-08-20,564826,0,30764,459766,Current,Current,good,low,977,1.2285075451425291,Soft
361,28,141678,South,Credit Card,Credit Card,2024-07-10,38598,0,49955,450736,Current,Current,good,low,652,0.08563327535408753,Soft
362,34,161694,East,Credit Card,Credit Card,2017-05-25,328821,0,8716,229686,Current,Current,good,low,3255,1.43161098194927,Soft
363,45,29021,South,Credit Card,Personal Loan,2021-07-21,272762,50,25969,295544,Delinquent,30-60,good,medium,1737,0.9229150312643802,Soft
364,52,48259,East,Current,Credit Card,2020-04-23,265354,0,37641,378055,Current,Current,good,low,2191,0.7018925817672031,Soft
365,48,35349,South,Current,Credit Card,2018-02-17,259201,0,43152,260032,Current,Current,good,low,2987,0.9968042394782181,Soft
366,22,192591,South,Loan,Personal Loan,2024-01-29,783438,0,45673,170324,Current,Current,good,low,815,4.599692351048589,Soft
367,37,58667,North,Current,Credit Card,2022-03-01,422194,70,44336,264530,Charged-off,60-90,bad,High,1514,1.5960155747930291,Aggressive
368,47,144142,East,Current,Personal Loan,2018-02-08,181751,10,33775,94169,Delinquent,0-30,good,low,2996,1.9300512907644767,Soft
369,22,101558,West,Credit Card,Mortgage,2019-04-24,534949,0,35325,205779,Current,Current,good,low,2556,2.5996287279071235,Soft
370,28,80084,East,Savings,Personal Loan,2020-09-16,497270,10,20768,373749,Delinquent,0-30,good,low,2045,1.330491854158807,Soft
371,58,99948,North,Loan,Mortgage,2018-08-21,404441,0,47733,399865,Current,Current,good,low,2802,1.0114438623035273,Soft
372,40,54021,South,Credit Card,Auto Loan,2023-06-24,482316,0,42384,164748,Current,Current,good,low,1034,2.927598514094253,Soft
373,57,45974,North,Savings,Credit Card,2022-02-18,369071,70,1763,227012,Charged-off,60-90,bad,High,1525,1.6257774919387522,Aggressive
374,41,141075,North,Loan,Auto Loan,2024-10-14,621915,20,8581,58508,Delinquent,0-30,good,low,556,10.629572024338552,Soft
375,46,182614,East,Credit Card,Mortgage,2018-04-21,540468,0,28366,104093,Current,Current,good,low,2924,5.192164698875044,Soft
376,51,195782,North,Credit Card,Auto Loan,2018-01-19,546332,10,12077,335372,Delinquent,0-30,good,low,3016,1.629032835180039,Soft
377,40,86659,South,Current,Credit Card,2019-09-01,692526,0,45098,254168,Current,Current,good,low,2426,2.7246781656227377,Soft
378,26,104982,West,Savings,Mortgage,2022-07-23,243018,0,34156,427124,Current,Current,good,low,1370,0.5689635796630487,Soft
379,35,143846,East,Credit Card,Auto Loan,2022-01-09,682558,0,19107,369017,Current,Current,good,low,1565,1.8496654625667652,Soft
380,21,156242,North,Savings,Mortgage,2023-10-20,765439,35,34204,377682,Delinquent,30-60,good,medium,916,2.026675880767418,Soft
381,46,75809,South,Credit Card,Auto Loan,2018-06-07,297142,10,20894,390913,Delinquent,0-30,good,low,2877,0.7601230964434542,Soft
382,49,161625,North,Current,Mortgage,2020-12-07,311950,0,26407,105672,Current,Current,good,low,1963,2.952059202059202,Soft
383,22,117183,West,Savings,Mortgage,2017-02-20,207552,0,46108,469593,Current,Current,good,low,3349,0.44198273824354284,Soft
384,42,185137,West,Current,Auto Loan,2019-05-08,442368,50,7179,173225,Delinquent,30-60,good,medium,2542,2.5537191513926976,Soft
385,49,79685,South,Savings,Mortgage,2023-02-13,321249,0,41125,317502,Current,Current,good,low,1165,1.0118015004629892,Soft
386,29,84385,North,Credit Card,Credit Card,2018-02-21,125336,0,37958,241388,Current,Current,good,low,2983,0.5192304505609227,Soft
387,61,32638,East,Loan,Auto Loan,2019-05-01,746402,0,2313,119042,Current,Current,good,low,2549,6.270072747433679,Soft
388,41,80718,East,Current,Credit Card,2020-05-10,242439,95,24563,409912,Charged-off,90+,bad,High,2174,0.5914415777044829,Aggressive
389,52,29436,South,Current,Personal Loan,2017-02-14,499043,0,35468,345399,Current,Current,good,low,3355,1.4448304714258002,Soft
390,52,180648,East,Loan,Auto Loan,2020-02-23,163393,10,16372,281372,Delinquent,0-30,good,low,2251,0.5807009937022873,Soft
391,64,146831,South,Loan,Auto Loan,2018-08-30,629722,0,5081,274180,Current,Current,good,low,2793,2.2967466627762785,Soft
392,60,88049,North,Current,Personal Loan,2021-02-03,521334,0,35081,415589,Current,Current,good,low,1905,1.2544460993914661,Soft
393,46,97862,East,Savings,Personal Loan,2021-12-26,784067,120,32152,266835,Charged-off,90+,bad,High,1579,2.938396387280529,Aggressive
394,33,75397,South,Credit Card,Auto Loan,2019-07-30,498887,50,7238,328114,Delinquent,30-60,good,medium,2459,1.5204684957057608,Soft
395,23,98338,East,Savings,Personal Loan,2019-07-15,209917,0,17555,462145,Current,Current,good,low,2474,0.4542232416233,Soft
396,52,78144,North,Credit Card,Auto Loan,2023-03-30,278001,50,11303,445987,Delinquent,30-60,good,medium,1120,0.6233387968707608,Soft
397,53,26688,South,Current,Auto Loan,2024-08-17,149476,10,45805,378974,Delinquent,0-30,good,low,614,0.3944228363951089,Soft
398,53,64359,East,Loan,Personal Loan,2019-10-10,609777,0,9302,305298,Current,Current,good,low,2387,1.9973173751547668,Soft
399,62,98971,North,Current,Credit Card,2018-12-06,399173,70,5457,86151,Charged-off,60-90,bad,High,2695,4.633411103759678,Aggressive
400,62,97472,West,Loan,Mortgage,2018-02-09,676444,70,26408,37874,Charged-off,60-90,bad,High,2995,17.860379151924803,Aggressive
401,33,198666,West,Current,Mortgage,2025-01-30,341158,70,33205,252584,Charged-off,60-90,bad,High,448,1.350671459791594,Aggressive
402,63,139481,East,Loan,Auto Loan,2021-12-19,108977,120,41292,220896,Charged-off,90+,bad,High,1586,0.4933407576416051,Aggressive
403,26,187786,North,Credit Card,Personal Loan,2019-05-01,628673,50,44575,480853,Delinquent,30-60,good,medium,2549,1.3074120365267556,Soft
404,24,158282,West,Loan,Personal Loan,2017-04-12,678690,20,13973,163663,Delinquent,0-30,good,low,3298,4.146874980905886,Soft
405,58,84563,West,Savings,Mortgage,2018-02-16,310406,0,17390,240596,Current,Current,good,low,2988,1.2901544497830388,Soft
406,26,56312,West,Credit Card,Mortgage,2017-01-05,377195,35,20674,259171,Delinquent,30-60,good,medium,3395,1.455390456493975,Soft
407,23,110576,East,Savings,Auto Loan,2021-02-23,473831,0,13457,220029,Current,Current,good,low,1885,2.153493403142313,Soft
408,47,116494,West,Loan,Auto Loan,2019-11-20,310890,20,40346,90256,Delinquent,0-30,good,low,2346,3.444535543343379,Soft
409,60,25779,West,Savings,Credit Card,2017-06-10,186468,120,41777,479851,Charged-off,90+,bad,High,3239,0.3885956265590777,Aggressive
410,40,168895,East,Current,Auto Loan,2017-04-18,317135,50,41426,488655,Delinquent,30-60,good,medium,3292,0.6489957127216543,Soft
411,38,73149,West,Savings,Personal Loan,2021-02-03,571059,20,1950,443050,Delinquent,0-30,good,low,1905,1.288926757702291,Soft
412,40,157229,South,Current,Credit Card,2023-03-15,143271,0,37689,52636,Current,Current,good,low,1135,2.72192035868987,Soft
413,50,127980,West,Current,Mortgage,2021-04-09,470142,35,33954,457711,Delinquent,30-60,good,medium,1840,1.027159058882133,Soft
414,30,94436,North,Current,Credit Card,2018-07-06,147926,35,47290,244270,Delinquent,30-60,good,medium,2848,0.6055839849347034,Soft
415,43,115168,West,Loan,Auto Loan,2022-06-09,74042,10,3980,220986,Delinquent,0-30,good,low,1414,0.3350528992786873,Soft
416,23,159322,West,Loan,Personal Loan,2023-08-04,494318,10,6276,464862,Delinquent,0-30,good,low,993,1.06336504166828,Soft
417,29,98167,South,Current,Credit Card,2020-08-13,359311,0,9965,317204,Current,Current,good,low,2079,1.1327442276894364,Soft
