cust_id,age,income,region,account_type,loan_type,account_open_date,balance,days_past_due,monthly_payment,credit_limit,status,bucket,risk_flag,risk_level,vintage_days,utilization
234,56,27240,North,"Credit Card","Auto Loan",2024-09-16,42544,70,23984,156721,Charged-off,60-90,bad,High,584,0.271463
235,40,71099,North,"Credit Card","Credit Card",2017-03-21,297261,20,39293,321601,Delinquent,0-30,good,low,3320,0.924316
236,38,94533,North,"Credit Card",Mortgage,2017-12-16,59646,0,4759,106994,Current,Current,good,low,3050,0.557471
237,60,37739,South,"Credit Card","Personal Loan",2017-08-16,413593,35,38937,193246,Delinquent,30-60,good,medium,3172,2.14024
238,61,66361,North,"Credit Card","Auto Loan",2021-06-03,184983,20,41289,290126,Delinquent,0-30,good,low,1785,0.637595
239,35,62841,West,Current,Mortgage,2017-05-15,452880,0,31074,423240,Current,Current,good,low,3265,1.07003
240,35,163147,South,"Credit Card","Personal Loan",2024-10-15,648703,70,47745,201146,Charged-off,60-90,bad,High,555,3.22504
241,44,63673,North,Current,"Auto Loan",2019-12-05,710300,50,4084,266746,Delinquent,30-60,good,medium,2331,2.66283
242,49,41026,West,"Credit Card","Credit Card",2020-11-24,622831,0,33797,247978,Current,Current,good,low,1976,2.51164
243,37,185138,East,Current,Mortgage,2021-06-28,199474,20,14017,303946,Delinquent,0-30,good,low,1760,0.656281
244,45,119756,West,Savings,Mortgage,2021-09-16,404901,70,29513,260943,Charged-off,60-90,bad,High,1680,1.55168
245,36,108626,West,"Credit Card",Mortgage,2023-11-13,285070,0,24125,85493,Current,Current,good,low,892,3.33442
246,37,79213,East,Current,"Credit Card",2017-05-18,55350,20,30286,493695,Delinquent,0-30,good,low,3262,0.112114
247,41,70845,East,Loan,"Credit Card",2017-08-29,362633,10,37596,53693,Delinquent,0-30,good,low,3159,6.75382
248,64,161929,South,Savings,Mortgage,2021-05-06,742223,70,35482,297824,Charged-off,60-90,bad,High,1813,2.49215
249,47,159632,South,"Credit Card","Credit Card",2024-09-05,369524,20,5983,493215,Delinquent,0-30,good,low,595,0.749215
250,25,25906,West,Loan,"Credit Card",2023-03-14,692747,20,23800,196604,Delinquent,0-30,good,low,1136,3.52357
251,42,118052,South,Savings,Mortgage,2022-06-01,173002,0,26333,430923,Current,Current,good,low,1422,0.401468
252,53,164397,East,Savings,"Auto Loan",2024-10-20,289039,0,8062,158145,Current,Current,good,low,550,1.82768
253,60,102508,South,Loan,"Credit Card",2018-11-12,586892,10,18851,50168,Delinquent,0-30,good,low,2719,11.6985
254,22,76073,West,"Credit Card",Mortgage,2019-04-14,775963,0,42882,38947,Current,Current,good,low,2566,19.9236
255,55,75650,East,Savings,"Credit Card",2018-01-03,556430,35,21069,177165,Delinquent,30-60,good,medium,3032,3.14074
256,63,113114,North,Savings,Mortgage,2023-08-01,299720,70,3144,61059,Charged-off,60-90,bad,High,996,4.90869
257,39,134293,East,"Credit Card","Personal Loan",2021-10-19,481254,0,22820,288553,Current,Current,good,low,1647,1.66782
258,60,100722,East,Savings,Mortgage,2019-01-10,76347,50,44919,408887,Delinquent,30-60,good,medium,2660,0.186719
259,47,97185,North,"Credit Card","Personal Loan",2019-10-18,424479,120,5817,64814,Charged-off,90+,bad,High,2379,6.54919
260,60,196701,West,"Credit Card","Personal Loan",2021-07-04,94609,50,32250,337737,Delinquent,30-60,good,medium,1754,0.280126
261,56,112725,North,Loan,Mortgage,2023-05-05,360288,10,5807,76738,Delinquent,0-30,good,low,1084,4.69504
262,59,75758,East,Loan,"Auto Loan",2021-02-24,63417,70,7643,189965,Charged-off,60-90,bad,High,1884,0.333835
263,22,74418,West,Loan,"Personal Loan",2021-08-06,314498,0,40459,245960,Current,Current,good,low,1721,1.27866
264,61,116143,South,Loan,"Credit Card",2018-11-18,453039,35,30759,91254,Delinquent,30-60,good,medium,2713,4.96459
265,38,130899,South,Savings,"Personal Loan",2019-07-25,375082,0,14430,389274,Current,Current,good,low,2464,0.963542
266,43,172226,South,"Credit Card","Personal Loan",2018-02-02,743858,0,30166,89985,Current,Current,good,low,3002,8.26647
267,46,179413,West,Savings,"Credit Card",2020-04-23,536693,0,5281,305287,Current,Current,good,low,2191,1.75799
268,31,76630,South,"Credit Card","Personal Loan",2023-12-11,438216,0,28968,364286,Current,Current,good,low,864,1.20294
269,21,36889,West,"Credit Card","Personal Loan",2017-10-30,50894,0,5815,365258,Current,Current,good,low,3097,0.139337
270,56,143658,West,Loan,Mortgage,2021-10-13,685599,35,32150,251576,Delinquent,30-60,good,medium,1653,2.72522
271,40,199381,West,Current,"Auto Loan",2017-08-08,611203,70,3297,76711,Charged-off,60-90,bad,High,3180,7.96761
272,51,141997,South,"Credit Card","Credit Card",2023-08-13,520819,10,46295,101283,Delinquent,0-30,good,low,984,5.14222
273,28,25826,East,Savings,"Credit Card",2017-02-20,394213,20,4221,453894,Delinquent,0-30,good,low,3349,0.868513
274,60,145721,West,"Credit Card","Auto Loan",2021-05-20,513935,95,18728,30952,Charged-off,90+,bad,High,1799,16.6043
275,44,120234,North,"Credit Card","Credit Card",2020-05-21,33134,20,23293,256807,Delinquent,0-30,good,low,2163,0.129023
276,40,42602,East,Current,"Personal Loan",2023-10-25,207170,50,4752,353178,Delinquent,30-60,good,medium,911,0.586588
277,35,48060,West,Current,Mortgage,2018-08-14,297407,0,3103,464538,Current,Current,good,low,2809,0.640221
278,50,55593,South,Loan,"Personal Loan",2023-07-02,516649,0,2850,388577,Current,Current,good,low,1026,1.32959
279,40,107790,West,Loan,Mortgage,2023-03-15,477372,0,27426,206811,Current,Current,good,low,1135,2.30825
280,58,128752,East,"Credit Card","Auto Loan",2023-06-05,552312,70,38985,253583,Charged-off,60-90,bad,High,1053,2.17803
281,22,73010,South,Current,"Auto Loan",2019-03-03,390835,20,42894,388314,Delinquent,0-30,good,low,2608,1.00649
282,26,167375,North,Current,"Credit Card",2018-05-22,235662,20,14033,240753,Delinquent,0-30,good,low,2893,0.978854
283,62,37938,South,"Credit Card","Auto Loan",2022-08-04,730373,70,13911,241002,Charged-off,60-90,bad,High,1358,3.03057
284,38,145461,South,Savings,Mortgage,2023-09-06,484674,70,11299,257768,Charged-off,60-90,bad,High,960,1.88027
285,56,68625,East,Current,"Personal Loan",2020-05-09,33091,35,47096,191042,Delinquent,30-60,good,medium,2175,0.173213
286,34,108584,South,Current,"Credit Card",2019-03-26,211647,120,32534,80035,Charged-off,90+,bad,High,2585,2.64443
287,46,72124,North,Current,"Auto Loan",2024-12-18,198424,95,34214,63353,Charged-off,90+,bad,High,491,3.13204
288,54,143609,West,"Credit Card","Personal Loan",2021-02-17,704453,0,7581,126742,Current,Current,good,low,1891,5.55817
289,50,131807,East,Loan,"Personal Loan",2018-06-18,42294,0,38669,497777,Current,Current,good,low,2866,0.0849658
290,27,183635,East,Current,"Credit Card",2019-03-25,587013,0,32622,151652,Current,Current,good,low,2586,3.87079
291,50,172945,North,Savings,"Auto Loan",2020-10-02,400772,50,5340,486090,Delinquent,30-60,good,medium,2029,0.824481
292,38,166567,North,Current,"Personal Loan",2022-03-25,407555,0,16741,192950,Current,Current,good,low,1490,2.11223
293,42,196012,North,Current,"Personal Loan",2019-08-29,604043,0,3465,86662,Current,Current,good,low,2429,6.9701
294,37,83424,North,"Credit Card","Personal Loan",2025-02-28,373838,0,14079,216889,Current,Current,good,low,419,1.72364
295,51,56295,West,Savings,"Credit Card",2017-02-19,59717,20,35075,78825,Delinquent,0-30,good,low,3350,0.75759
296,37,56276,East,Current,Mortgage,2017-02-21,308720,10,48533,262974,Delinquent,0-30,good,low,3348,1.17396
297,51,175602,North,Current,"Credit Card",2017-01-17,731064,120,43260,150904,Charged-off,90+,bad,High,3383,4.84456
298,33,96168,North,"Credit Card",Mortgage,2017-10-30,308559,0,31767,237308,Current,Current,good,low,3097,1.30025
299,47,176808,North,Savings,"Auto Loan",2021-06-14,578469,0,22382,466265,Current,Current,good,low,1774,1.24064
300,40,49978,North,"Credit Card","Auto Loan",2022-10-23,678509,35,23297,101113,Delinquent,30-60,good,medium,1278,6.7104
301,37,78565,South,"Credit Card",Mortgage,2017-12-06,17555,0,11759,488026,Current,Current,good,low,3060,0.0359714
302,49,67059,West,Current,Mortgage,2023-10-12,682792,50,22465,370446,Delinquent,30-60,good,medium,924,1.84316
303,59,181953,South,Savings,"Credit Card",2018-03-04,233335,0,25946,122253,Current,Current,good,low,2972,1.90862
304,55,120079,North,"Credit Card","Personal Loan",2021-06-27,425077,0,5082,393054,Current,Current,good,low,1761,1.08147
305,28,98356,South,Loan,"Auto Loan",2022-01-16,676894,95,25685,245722,Charged-off,90+,bad,High,1558,2.75471
306,63,153596,East,"Credit Card","Credit Card",2018-05-15,284224,0,28236,66960,Current,Current,good,low,2900,4.24468
307,58,130529,North,Savings,"Auto Loan",2024-03-30,283247,0,35059,394943,Current,Current,good,low,754,0.717184
308,35,184215,South,"Credit Card",Mortgage,2022-01-25,319195,10,49781,389206,Delinquent,0-30,good,low,1549,0.820118
309,21,197207,North,Savings,Mortgage,2020-02-25,754931,0,42863,224348,Current,Current,good,low,2249,3.365
310,53,157475,East,Savings,"Credit Card",2024-07-11,100852,0,18706,495920,Current,Current,good,low,651,0.203363
311,23,151641,South,"Credit Card",Mortgage,2021-04-27,505230,0,4121,194361,Current,Current,good,low,1822,2.59944
312,59,50567,North,"Credit Card","Credit Card",2025-03-14,541240,10,39584,200587,Delinquent,0-30,good,low,405,2.69828
313,58,193042,East,Loan,"Credit Card",2025-02-02,369026,0,23190,319412,Current,Current,good,low,445,1.15533
314,35,31416,North,"Credit Card","Personal Loan",2020-12-16,255963,0,17135,254490,Current,Current,good,low,1954,1.00579
315,62,97943,West,"Credit Card","Personal Loan",2020-08-15,344575,0,14786,112547,Current,Current,good,low,2077,3.06161
316,38,157696,West,Current,"Personal Loan",2017-05-09,185742,0,6447,310917,Current,Current,good,low,3271,0.597401
317,58,150802,East,Loan,Mortgage,2021-06-18,389997,0,39560,143314,Current,Current,good,low,1770,2.72128
318,51,186956,North,Savings,"Auto Loan",2019-03-19,296911,50,47551,467612,Delinquent,30-60,good,medium,2592,0.634952
319,40,124967,North,"Credit Card","Auto Loan",2023-12-04,369801,20,46050,272453,Delinquent,0-30,good,low,871,1.3573
320,27,81651,South,"Credit Card","Personal Loan",2019-12-16,667097,0,33082,374461,Current,Current,good,low,2320,1.78149
321,57,105140,North,Loan,"Personal Loan",2024-03-22,612471,10,1946,220352,Delinquent,0-30,good,low,762,2.77951
322,47,190806,West,Current,"Auto Loan",2019-05-10,381725,20,34892,452406,Delinquent,0-30,good,low,2540,0.843766
323,28,65669,West,Current,Mortgage,2017-03-07,523173,50,21113,275493,Delinquent,30-60,good,medium,3334,1.89904
324,34,187736,East,"Credit Card","Personal Loan",2018-05-07,749689,120,14726,56045,Charged-off,90+,bad,High,2908,13.3766
325,35,108821,East,Loan,Mortgage,2022-07-05,789698,120,7381,378632,Charged-off,90+,bad,High,1388,2.08566
326,27,137702,East,Current,Mortgage,2020-07-28,757943,0,36881,289605,Current,Current,good,low,2095,2.61716
327,53,154055,South,Current,Mortgage,2020-10-20,216371,50,44816,161734,Delinquent,30-60,good,medium,2011,1.33782
328,54,122952,North,Savings,"Auto Loan",2021-09-05,469230,0,12088,30947,Current,Current,good,low,1691,15.1624
329,24,52013,South,Current,"Auto Loan",2019-10-07,471388,0,9303,217384,Current,Current,good,low,2390,2.16846
330,21,194971,West,"Credit Card",Mortgage,2017-03-02,557707,35,20187,241192,Delinquent,30-60,good,medium,3339,2.31229
331,61,131115,East,Savings,"Credit Card",2024-12-13,536286,0,31244,291851,Current,Current,good,low,496,1.83753
332,34,163802,South,"Credit Card","Auto Loan",2021-10-04,777167,50,42300,181422,Delinquent,30-60,good,medium,1662,4.28375
333,51,157750,West,Loan,"Credit Card",2020-03-22,60123,50,26549,130014,Delinquent,30-60,good,medium,2223,0.462435
334,58,114390,North,Savings,Mortgage,2024-03-07,446721,35,45289,408588,Delinquent,30-60,good,medium,777,1.09333
335,40,56059,East,Loan,"Auto Loan",2022-06-06,687924,0,12337,39701,Current,Current,good,low,1417,17.3276
336,23,51208,East,"Credit Card",Mortgage,2024-10-28,98496,0,5924,412878,Current,Current,good,low,542,0.23856
337,55,120014,North,"Credit Card","Auto Loan",2017-03-25,712895,35,3860,241677,Delinquent,30-60,good,medium,3316,2.94978
338,53,153073,North,Current,"Personal Loan",2023-08-28,380199,95,12248,212865,Charged-off,90+,bad,High,969,1.7861
339,35,172074,North,Savings,"Personal Loan",2025-02-27,84818,35,3008,489594,Delinquent,30-60,good,medium,420,0.173241
340,23,99977,East,Current,"Credit Card",2021-11-17,798043,0,45738,140914,Current,Current,good,low,1618,5.66333
341,48,108992,South,"Credit Card",Mortgage,2019-07-01,292194,0,30249,187618,Current,Current,good,low,2488,1.55739
342,47,105859,South,"Credit Card","Credit Card",2021-12-22,507828,0,9437,429722,Current,Current,good,low,1583,1.18176
343,53,178338,West,"Credit Card",Mortgage,2023-05-19,439246,0,2189,107833,Current,Current,good,low,1070,4.07339
344,39,151330,West,"Credit Card",Mortgage,2017-02-25,92442,120,42770,104864,Charged-off,90+,bad,High,3344,0.881542
345,53,93878,West,Current,Mortgage,2021-04-10,402356,70,6083,46978,Charged-off,60-90,bad,High,1839,8.56478
346,51,107179,West,Current,"Personal Loan",2024-07-16,464685,0,20407,180965,Current,Current,good,low,646,2.56782
347,24,49163,North,"Credit Card","Credit Card",2020-03-23,481845,35,6675,292032,Delinquent,30-60,good,medium,2222,1.64997
348,52,107027,East,Savings,"Personal Loan",2024-08-09,514314,10,34690,99912,Delinquent,0-30,good,low,622,5.14767
349,62,155968,East,Savings,"Personal Loan",2017-05-01,404636,20,41086,76445,Delinquent,0-30,good,low,3279,5.29317
350,48,58407,East,Loan,"Personal Loan",2018-06-15,260466,10,34315,200763,Delinquent,0-30,good,low,2869,1.29738
351,36,199521,South,"Credit Card","Personal Loan",2018-01-23,184026,120,14341,272212,Charged-off,90+,bad,High,3012,0.676039
352,63,97738,South,Savings,"Personal Loan",2024-09-06,233914,0,6517,180103,Current,Current,good,low,594,1.29878
353,48,135043,West,Savings,Mortgage,2024-12-15,721163,0,5464,205011,Current,Current,good,low,494,3.51768
354,35,36380,East,Current,"Personal Loan",2023-04-22,394717,70,26023,63915,Charged-off,60-90,bad,High,1097,6.17566
355,42,166848,West,Current,Mortgage,2017-04-14,472111,0,33033,49184,Current,Current,good,low,3296,9.59887
356,51,53677,East,Current,"Auto Loan",2024-07-10,68595,35,20929,438524,Delinquent,30-60,good,medium,652,0.156422
357,41,191495,East,"Credit Card","Auto Loan",2019-06-11,153327,0,2298,189305,Current,Current,good,low,2508,0.809947
358,52,42993,South,"Credit Card","Auto Loan",2022-07-12,696454,50,25311,76854,Delinquent,30-60,good,medium,1381,9.06204
359,27,63242,South,"Credit Card","Auto Loan",2017-02-05,308753,20,37939,111122,Delinquent,0-30,good,low,3364,2.7785
360,53,96346,East,"Credit Card",Mortgage,2023-08-20,564826,0,30764,459766,Current,Current,good,low,977,1.22851
361,28,141678,South,"Credit Card","Credit Card",2024-07-10,38598,0,49955,450736,Current,Current,good,low,652,0.0856333
362,34,161694,East,"Credit Card","Credit Card",2017-05-25,328821,0,8716,229686,Current,Current,good,low,3255,1.43161
363,45,29021,South,"Credit Card","Personal Loan",2021-07-21,272762,50,25969,295544,Delinquent,30-60,good,medium,1737,0.922915
364,52,48259,East,Current,"Credit Card",2020-04-23,265354,0,37641,378055,Current,Current,good,low,2191,0.701893
365,48,35349,South,Current,"Credit Card",2018-02-17,259201,0,43152,260032,Current,Current,good,low,2987,0.996804
366,22,192591,South,Loan,"Personal Loan",2024-01-29,783438,0,45673,170324,Current,Current,good,low,815,4.59969
367,37,58667,North,Current,"Credit Card",2022-03-01,422194,70,44336,264530,Charged-off,60-90,bad,High,1514,1.59602
368,47,144142,East,Current,"Personal Loan",2018-02-08,181751,10,33775,94169,Delinquent,0-30,good,low,2996,1.93005
369,22,101558,West,"Credit Card",Mortgage,2019-04-24,534949,0,35325,205779,Current,Current,good,low,2556,2.59963
370,28,80084,East,Savings,"Personal Loan",2020-09-16,497270,10,20768,373749,Delinquent,0-30,good,low,2045,1.33049
371,58,99948,North,Loan,Mortgage,2018-08-21,404441,0,47733,399865,Current,Current,good,low,2802,1.01144
372,40,54021,South,"Credit Card","Auto Loan",2023-06-24,482316,0,42384,164748,Current,Current,good,low,1034,2.9276
373,57,45974,North,Savings,"Credit Card",2022-02-18,369071,70,1763,227012,Charged-off,60-90,bad,High,1525,1.62578
374,41,141075,North,Loan,"Auto Loan",2024-10-14,621915,20,8581,58508,Delinquent,0-30,good,low,556,10.6296
375,46,182614,East,"Credit Card",Mortgage,2018-04-21,540468,0,28366,104093,Current,Current,good,low,2924,5.19216
376,51,195782,North,"Credit Card","Auto Loan",2018-01-19,546332,10,12077,335372,Delinquent,0-30,good,low,3016,1.62903
377,40,86659,South,Current,"Credit Card",2019-09-01,692526,0,45098,254168,Current,Current,good,low,2426,2.72468
378,26,104982,West,Savings,Mortgage,2022-07-23,243018,0,34156,427124,Current,Current,good,low,1370,0.568964
379,35,143846,East,"Credit Card","Auto Loan",2022-01-09,682558,0,19107,369017,Current,Current,good,low,1565,1.84967
380,21,156242,North,Savings,Mortgage,2023-10-20,765439,35,34204,377682,Delinquent,30-60,good,medium,916,2.02668
381,46,75809,South,"Credit Card","Auto Loan",2018-06-07,297142,10,20894,390913,Delinquent,0-30,good,low,2877,0.760123
382,49,161625,North,Current,Mortgage,2020-12-07,311950,0,26407,105672,Current,Current,good,low,1963,2.95206
383,22,117183,West,Savings,Mortgage,2017-02-20,207552,0,46108,469593,Current,Current,good,low,3349,0.441983
384,42,185137,West,Current,"Auto Loan",2019-05-08,442368,50,7179,173225,Delinquent,30-60,good,medium,2542,2.55372
385,49,79685,South,Savings,Mortgage,2023-02-13,321249,0,41125,317502,Current,Current,good,low,1165,1.0118
386,29,84385,North,"Credit Card","Credit Card",2018-02-21,125336,0,37958,241388,Current,Current,good,low,2983,0.51923
387,61,32638,East,Loan,"Auto Loan",2019-05-01,746402,0,2313,119042,Current,Current,good,low,2549,6.27007
388,41,80718,East,Current,"Credit Card",2020-05-10,242439,95,24563,409912,Charged-off,90+,bad,High,2174,0.591442
389,52,29436,South,Current,"Personal Loan",2017-02-14,499043,0,35468,345399,Current,Current,good,low,3355,1.44483
390,52,180648,East,Loan,"Auto Loan",2020-02-23,163393,10,16372,281372,Delinquent,0-30,good,low,2251,0.580701
391,64,146831,South,Loan,"Auto Loan",2018-08-30,629722,0,5081,274180,Current,Current,good,low,2793,2.29675
392,60,88049,North,Current,"Personal Loan",2021-02-03,521334,0,35081,415589,Current,Current,good,low,1905,1.25445
393,46,97862,East,Savings,"Personal Loan",2021-12-26,784067,120,32152,266835,Charged-off,90+,bad,High,1579,2.9384
394,33,75397,South,"Credit Card","Auto Loan",2019-07-30,498887,50,7238,328114,Delinquent,30-60,good,medium,2459,1.52047
395,23,98338,East,Savings,"Personal Loan",2019-07-15,209917,0,17555,462145,Current,Current,good,low,2474,0.454223
396,52,78144,North,"Credit Card","Auto Loan",2023-03-30,278001,50,11303,445987,Delinquent,30-60,good,medium,1120,0.623339
397,53,26688,South,Current,"Auto Loan",2024-08-17,149476,10,45805,378974,Delinquent,0-30,good,low,614,0.394423
398,53,64359,East,Loan,"Personal Loan",2019-10-10,609777,0,9302,305298,Current,Current,good,low,2387,1.99732
399,62,98971,North,Current,"Credit Card",2018-12-06,399173,70,5457,86151,Charged-off,60-90,bad,High,2695,4.63341
400,62,97472,West,Loan,Mortgage,2018-02-09,676444,70,26408,37874,Charged-off,60-90,bad,High,2995,17.8604
401,33,198666,West,Current,Mortgage,2025-01-30,341158,70,33205,252584,Charged-off,60-90,bad,High,448,1.35067
402,63,139481,East,Loan,"Auto Loan",2021-12-19,108977,120,41292,220896,Charged-off,90+,bad,High,1586,0.493341
403,26,187786,North,"Credit Card","Personal Loan",2019-05-01,628673,50,44575,480853,Delinquent,30-60,good,medium,2549,1.30741
404,24,158282,West,Loan,"Personal Loan",2017-04-12,678690,20,13973,163663,Delinquent,0-30,good,low,3298,4.14687
405,58,84563,West,Savings,Mortgage,2018-02-16,310406,0,17390,240596,Current,Current,good,low,2988,1.29015
406,26,56312,West,"Credit Card",Mortgage,2017-01-05,377195,35,20674,259171,Delinquent,30-60,good,medium,3395,1.45539
407,23,110576,East,Savings,"Auto Loan",2021-02-23,473831,0,13457,220029,Current,Current,good,low,1885,2.15349
408,47,116494,West,Loan,"Auto Loan",2019-11-20,310890,20,40346,90256,Delinquent,0-30,good,low,2346,3.44454
409,60,25779,West,Savings,"Credit Card",2017-06-10,186468,120,41777,479851,Charged-off,90+,bad,High,3239,0.388596
410,40,168895,East,Current,"Auto Loan",2017-04-18,317135,50,41426,488655,Delinquent,30-60,good,medium,3292,0.648996
411,38,73149,West,Savings,"Personal Loan",2021-02-03,571059,20,1950,443050,Delinquent,0-30,good,low,1905,1.28893
412,40,157229,South,Current,"Credit Card",2023-03-15,143271,0,37689,52636,Current,Current,good,low,1135,2.72192
413,50,127980,West,Current,Mortgage,2021-04-09,470142,35,33954,457711,Delinquent,30-60,good,medium,1840,1.02716
414,30,94436,North,Current,"Credit Card",2018-07-06,147926,35,47290,244270,Delinquent,30-60,good,medium,2848,0.605584
415,43,115168,West,Loan,"Auto Loan",2022-06-09,74042,10,3980,220986,Delinquent,0-30,good,low,1414,0.335053
416,23,159322,West,Loan,"Personal Loan",2023-08-04,494318,10,6276,464862,Delinquent,0-30,good,low,993,1.06336
417,29,98167,South,Current,"Credit Card",2020-08-13,359311,0,9965,317204,Current,Current,good,low,2079,1.13274
418,39,186916,East,Loan,"Auto Loan",2020-10-26,498551,120,7002,265698,Charged-off,90+,bad,High,2005,1.87638
419,56,132346,North,"Credit Card","Personal Loan",2019-09-12,78525,0,36402,341088,Current,Current,good,low,2415,0.230219
420,60,34367,East,"Credit Card","Credit Card",2023-04-21,37876,0,24398,454483,Current,Current,good,low,1098,0.0833386
421,47,40976,South,"Credit Card",Mortgage,2023-08-20,699311,0,41262,402215,Current,Current,good,low,977,1.73865
422,62,197554,North,Loan,"Auto Loan",2023-12-21,735467,20,23010,300683,Delinquent,0-30,good,low,854,2.44599
423,48,147328,South,Current,"Auto Loan",2017-02-02,28534,0,1898,221779,Current,Current,good,low,3367,0.12866
424,63,155326,West,"Credit Card",Mortgage,2021-03-29,507651,0,26845,428599,Current,Current,good,low,1851,1.18444
425,28,98727,West,Current,"Personal Loan",2020-09-03,320403,10,29640,402012,Delinquent,0-30,good,low,2058,0.796999
426,62,126749,East,"Credit Card",Mortgage,2017-07-09,373242,35,32326,241753,Delinquent,30-60,good,medium,3210,1.5439
427,28,114761,South,Savings,Mortgage,2024-08-09,382067,0,21240,436446,Current,Current,good,low,622,0.875405
428,38,139744,East,Current,"Auto Loan",2017-04-07,208047,20,31884,260018,Delinquent,0-30,good,low,3303,0.800125
429,41,64667,North,Current,"Auto Loan",2025-03-09,170130,10,8375,159747,Delinquent,0-30,good,low,410,1.065
430,33,192663,North,"Credit Card","Credit Card",2022-08-21,735346,50,24358,104481,Delinquent,30-60,good,medium,1341,7.03808
431,47,108586,West,Current,"Auto Loan",2023-04-04,103722,0,27359,152460,Current,Current,good,low,1115,0.680323
432,60,135413,North,Savings,"Personal Loan",2023-05-28,333162,50,14418,273952,Delinquent,30-60,good,medium,1061,1.21613
433,36,41888,South,Current,Mortgage,2024-05-16,741514,20,2728,275304,Delinquent,0-30,good,low,707,2.69344
434,60,177504,West,Current,"Credit Card",2020-05-13,649004,0,16506,212117,Current,Current,good,low,2171,3.05965
435,29,190168,South,"Credit Card","Credit Card",2018-04-26,455198,0,30638,378834,Current,Current,good,low,2919,1.20158
436,47,55361,West,Current,"Personal Loan",2024-07-01,116732,35,34395,40919,Delinquent,30-60,good,medium,661,2.85276
437,37,58451,South,Loan,Mortgage,2024-11-21,765832,0,44284,458598,Current,Current,good,low,518,1.66994
438,23,113228,North,Savings,"Auto Loan",2022-04-16,611158,70,32706,328900,Charged-off,60-90,bad,High,1468,1.85819
439,24,75499,East,Loan,"Personal Loan",2019-01-16,132619,35,48244,395724,Delinquent,30-60,good,medium,2654,0.33513
440,60,131426,West,Savings,"Auto Loan",2019-04-22,260038,35,31047,91617,Delinquent,30-60,good,medium,2558,2.83832
441,21,111963,North,Loan,"Credit Card",2020-01-08,672826,35,7141,73969,Delinquent,30-60,good,medium,2297,9.09605
442,34,128986,East,Savings,"Auto Loan",2024-02-14,110287,95,30935,225910,Charged-off,90+,bad,High,799,0.48819
443,28,92181,South,Loan,Mortgage,2018-11-10,20093,0,49896,105596,Current,Current,good,low,2721,0.190282
444,27,175325,North,Current,"Credit Card",2021-02-06,263324,20,39108,283952,Delinquent,0-30,good,low,1902,0.927354
445,50,187676,North,Current,"Personal Loan",2017-03-12,765216,50,27241,238635,Delinquent,30-60,good,medium,3329,3.20664
446,45,183520,North,Current,"Auto Loan",2017-12-23,524046,0,47699,205204,Current,Current,good,low,3043,2.55378
447,59,136662,West,Savings,"Credit Card",2018-02-28,730435,10,24602,234133,Delinquent,0-30,good,low,2976,3.11974
448,36,156747,North,Savings,"Personal Loan",2018-07-25,287870,0,20878,45519,Current,Current,good,low,2829,6.32417
449,31,117620,North,Current,"Credit Card",2019-11-16,202838,10,47972,186490,Delinquent,0-30,good,low,2350,1.08766
450,45,89219,North,Savings,"Personal Loan",2017-06-15,762526,0,5151,90881,Current,Current,good,low,3234,8.39038
451,53,189041,West,Loan,Mortgage,2017-12-08,302051,70,41550,76370,Charged-off,60-90,bad,High,3058,3.9551
452,41,160544,West,"Credit Card","Credit Card",2022-10-26,459363,0,33381,362782,Current,Current,good,low,1275,1.26622
453,30,29556,South,"Credit Card","Auto Loan",2018-03-03,657235,10,18241,140121,Delinquent,0-30,good,low,2973,4.69048
454,29,114922,South,Savings,"Credit Card",2022-04-02,50356,10,27522,127772,Delinquent,0-30,good,low,1482,0.394108
455,21,37597,South,Savings,"Credit Card",2017-06-26,638962,70,17235,343373,Charged-off,60-90,bad,High,3223,1.86084
456,54,53241,North,Savings,"Credit Card",2024-09-15,717527,35,34909,499331,Delinquent,30-60,good,medium,585,1.43698
457,51,145042,South,Savings,"Credit Card",2019-01-28,279607,20,36961,372975,Delinquent,0-30,good,low,2642,0.749667
458,41,40985,West,Loan,Mortgage,2020-01-08,311191,0,18012,342901,Current,Current,good,low,2297,0.907524
459,44,105109,East,Savings,Mortgage,2017-12-18,669663,0,37592,313186,Current,Current,good,low,3048,2.13823
460,39,195810,South,Current,"Credit Card",2022-01-23,86967,0,26291,40559,Current,Current,good,low,1551,2.14421
461,41,87461,East,Savings,"Personal Loan",2021-09-07,700474,50,37674,490325,Delinquent,30-60,good,medium,1689,1.42859
462,45,140347,East,Current,"Credit Card",2019-03-15,572806,0,9967,259943,Current,Current,good,low,2596,2.20358
463,40,103988,South,Loan,"Personal Loan",2023-03-23,579494,50,17126,138949,Delinquent,30-60,good,medium,1127,4.17055
464,46,123305,South,Savings,"Auto Loan",2022-07-31,647997,70,14152,334843,Charged-off,60-90,bad,High,1362,1.93523
465,27,99236,East,Loan,Mortgage,2018-01-06,69131,10,15835,208217,Delinquent,0-30,good,low,3029,0.332014
466,23,44638,East,Current,"Personal Loan",2024-12-12,359835,95,39921,215996,Charged-off,90+,bad,High,497,1.66593
467,60,126958,East,Savings,"Auto Loan",2024-12-27,703345,20,45424,37099,Delinquent,0-30,good,low,482,18.9586
468,28,139170,East,Loan,"Auto Loan",2023-07-29,494424,120,25662,82757,Charged-off,90+,bad,High,999,5.97441
